window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_4,0.07,solo_X[3.50-4.50),1.2,no,0.0332,105,5,8,1034.9
sliding_7,0.1,base,1.15,si,0.0332,88,4,8,1029.2
sliding_6,0.04,base,1.2,si,0.0327,261,5,8,1085.4
sliding_5,0.03,base+X[3.70-4.50),1.2,no,0.0326,460,6,8,1150.1
sliding_7,0.04,base,none,si,0.0325,284,4,8,1092.2
sliding_5,0.1,base+X[3.70-4.50),none,no,0.0322,329,4,8,1106.0
sliding_5,0.06,base+X[3.50-4.50),1.15,no,0.0322,274,5,8,1088.1
sliding_5,0.03,base,1.15,no,0.0322,277,5,8,1089.2
sliding_3,0.06,base,none,si,0.0315,219,5,8,1069.0
sliding_9,0.07,base,1.2,si,0.0314,194,4,8,1060.9
expanding,0.07,base,1.2,si,0.0314,194,4,8,1060.9
sliding_3,0.04,base,none,no,0.0313,389,5,8,1121.8
sliding_3,0.07,base+X[3.70-4.50),1.25,no,0.0311,317,4,8,1098.5
sliding_5,0.07,base+X[3.50-4.50),1.2,si,0.0311,256,5,8,1079.7
sliding_3,0.1,base+X[3.50-4.50),1.25,si,0.0311,186,4,8,1057.9
sliding_3,0.07,base+X[3.70-4.50),none,no,0.031,392,4,8,1121.4
sliding_9,0.1,base+X[3.50-4.50),1.2,si,0.0308,194,4,8,1059.7
sliding_3,0.05,base,none,si,0.0308,228,4,8,1070.3
expanding,0.1,base+X[3.50-4.50),1.2,si,0.0308,194,4,8,1059.7
sliding_3,0.03,base+X[3.50-4.50),1.15,no,0.0305,406,4,8,1124.0
sliding_5,0.1,base+X[3.70-4.50),none,si,0.0302,164,4,8,1049.6
sliding_9,0.04,base,none,si,0.0302,284,4,8,1085.7
expanding,0.04,base,none,si,0.0302,284,4,8,1085.7
expanding,0.05,base,1.25,no,0.0297,352,5,8,1104.6
sliding_9,0.05,base,1.25,no,0.0297,352,5,8,1104.6
sliding_3,0.04,base,none,si,0.0296,238,4,8,1070.4
